app_id,title,description
b805dca1-086c-407b-84b4-c366b463e7d9,,"Advanced Search: Auto Fill and Auto Correct, Instant Search Suggestions, Synonym"
b805dca1-086c-407b-84b4-c366b463e7d9,,"Vertical & horizontal filter menu, Quick View, Add to Cart,Optimized for mobile"
b805dca1-086c-407b-84b4-c366b463e7d9,,"Convert more with smart search, merchandising and upsell recommendations"
b805dca1-086c-407b-84b4-c366b463e7d9,,"Unlimited number of customizable filters; filers by reviews, tags & metafields"
b805dca1-086c-407b-84b4-c366b463e7d9,,Support product grid layouts from popular Shopify themes & third-party themes
d1af658c-2f86-4c13-90fd-7be50e423746,,Simple template provided
d1af658c-2f86-4c13-90fd-7be50e423746,,"Multiple customization options (discounts, custom fields, etc.)"
d1af658c-2f86-4c13-90fd-7be50e423746,,Customer lookup and integration
d1af658c-2f86-4c13-90fd-7be50e423746,,Import orders into your store for fulfillment
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,,Easily create marketing campaigns from your Shopify pages and content.
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,,Analyze your sales daily and gain valuable insights that drive growth.
9e4957c9-aeb7-4d9c-996d-f6aa7c1a2ea0,,Write SEO optimized blog posts for your shop.
a1a0a344-01ec-49d2-a16e-17296022d5c2,,Automatically generates discount codes according to the agreed upon partnership
a1a0a344-01ec-49d2-a16e-17296022d5c2,,Tracks your store's monthly commissions directly from Shopify's Order API
a1a0a344-01ec-49d2-a16e-17296022d5c2,,Allows a 30-day grace period for refunds and returns before commissions are set
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,,Branded tracking pages with personalized product campaigns to boost sales.
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,,Timely email notifications to reduce customer anxiety ​​and WISMO calls.
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,,Shipment exceptions identification to reduce returns and unclaimed shipments.
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,,Advanced analytics that helps to shorten shipment delivery time.
9d0b64e5-3c11-4abb-89b5-44b83fb182a3,,Build a new-age relationship with your customers that will make them come back.
e20515dc-1931-438e-afe4-669157dc1753,,Displays multiple announcement bars in a loop on your store.
e20515dc-1931-438e-afe4-669157dc1753,,"Optimized for mobile devices, making it easy for customers to navigate."
e20515dc-1931-438e-afe4-669157dc1753,,"Works seamlessly with your themes, with no code inserted into the theme."
e30a4398-9621-498a-933b-1b44b9392ec7,,"Passwordless login via passkeys, magic links and OTP codes"
e30a4398-9621-498a-933b-1b44b9392ec7,,"Easy social login with Google, Facebook and more!"
e30a4398-9621-498a-933b-1b44b9392ec7,,First class analytics and user management dashboards
e30a4398-9621-498a-933b-1b44b9392ec7,,Single login form across all your websites and Shopify store
e30a4398-9621-498a-933b-1b44b9392ec7,,Customizable look & feel from the admin panel
56bc841d-92e2-4ca0-bb54-17bac0d499fb,,簡単にレビュー機能をストアに追加できます。
56bc841d-92e2-4ca0-bb54-17bac0d499fb,,レビューに対する返信や悪質なレビューの削除ができます。
56bc841d-92e2-4ca0-bb54-17bac0d499fb,,レビューされた商品の一覧を確認できます。
56bc841d-92e2-4ca0-bb54-17bac0d499fb,,商品のレビュー一覧を確認できます。
d3428251-07c8-4a06-ae95-17a90e0c1e84,,Price Syncing: Update online store prices from MYOB Acumatica
d3428251-07c8-4a06-ae95-17a90e0c1e84,,Inventory Sync: Sync MYOB Acumatica stock items with Shopify stock levels
d3428251-07c8-4a06-ae95-17a90e0c1e84,,Order Mapping: Link online orders to a specific MYOB Acumatica customer ID
d3428251-07c8-4a06-ae95-17a90e0c1e84,,Order Sync: Create sales orders from ecommerce orders into MYOB Acumatica
d3428251-07c8-4a06-ae95-17a90e0c1e84,,B2B Features: Advanced B2B pricing for Shopify Plus users
c6e41dc7-e80b-4730-a244-4de5ef76eb78,,"Bulk Edit: Quickly update product prices, titles across your entire store."
c6e41dc7-e80b-4730-a244-4de5ef76eb78,,Scheduled Edits: Schedule bulk changes to go live exactly when you need them.
c6e41dc7-e80b-4730-a244-4de5ef76eb78,,"Smart Revert: Automatically roll back edits at a set time, ideal for campaigns."
c6e41dc7-e80b-4730-a244-4de5ef76eb78,,Instant Rollback: Instantly undo edits with one click for quick flexibility.
c6e41dc7-e80b-4730-a244-4de5ef76eb78,,Preview: Preview changes before they go live to ensure everything is correct.
ac325cf0-c752-44d5-bded-4869c8728668,,Mockup Generator
ac325cf0-c752-44d5-bded-4869c8728668,,Automated order printing and shipping directly to your customers
ac325cf0-c752-44d5-bded-4869c8728668,,Connect to multiple e-commerce platforms
fdb6a2ee-3bc2-4f40-9e29-104316e85181,,Capture verified phone number from customers
fdb6a2ee-3bc2-4f40-9e29-104316e85181,,Capture verified email from customers
fdb6a2ee-3bc2-4f40-9e29-104316e85181,,Reward customers coupon codes for sharing their data directly.
fdb6a2ee-3bc2-4f40-9e29-104316e85181,,Automatically share data to marketing automation tools and CRMs
d1c69f49-0ea2-4558-8463-e8b50ad360a3,,Wheels of Fortune App to increase sales by providing discounts.
d1c69f49-0ea2-4558-8463-e8b50ad360a3,,Provide local currency experience using the Currency Converter app.
d1c69f49-0ea2-4558-8463-e8b50ad360a3,,Create a FOMO by displaying the Cart Reserved banner on the cart page.
d1c69f49-0ea2-4558-8463-e8b50ad360a3,,Display free shipping information using the Advanced Shipping Bar.
d1c69f49-0ea2-4558-8463-e8b50ad360a3,,and +18 apps in one...
180a7045-fbe2-4584-811e-4f13cfd9bed0,,Track customers’ intent and streamline the experience for future visits
180a7045-fbe2-4584-811e-4f13cfd9bed0,,Speed up their journey to desired products with autocomplete from the first type
180a7045-fbe2-4584-811e-4f13cfd9bed0,,Avoid searches bringing no results with typo correction and synonyms management
180a7045-fbe2-4584-811e-4f13cfd9bed0,,Assign the desired position to the chosen product in the search results
180a7045-fbe2-4584-811e-4f13cfd9bed0,,Recommend suggestions even for sold-out products or your most purchased ones
b1d2e3d4-ebaf-4691-a52d-d03f0b57686a,,Easily set up banner images with links to your store.
b1d2e3d4-ebaf-4691-a52d-d03f0b57686a,,Different images can be set for desktop and smartphone screens.
b1d2e3d4-ebaf-4691-a52d-d03f0b57686a,,"Customize columns, hover, and margins effortlessly—no code needed."
b1d2e3d4-ebaf-4691-a52d-d03f0b57686a,,"Insert banners anywhere on your store page, add as many as you want."
a9da345b-1a35-491b-a4e8-e453e2ad5251,,Instantly improve your store's page load times with just one click! No coding
a9da345b-1a35-491b-a4e8-e453e2ad5251,,Reduced page load times will improve the usability of your store
a9da345b-1a35-491b-a4e8-e453e2ad5251,,Stop Customers from Leaving with fast loading pages
a9da345b-1a35-491b-a4e8-e453e2ad5251,,"Latest Online Store 2.0 stack, no slowing down your store while improving speed"
a9da345b-1a35-491b-a4e8-e453e2ad5251,,"No coding required, optimize pages with a single click"
258936f9-6168-4d9e-9ad8-5dc456eef191,,Content protection from theft by competitors or malicious actors.
258936f9-6168-4d9e-9ad8-5dc456eef191,,Protect your product images
258936f9-6168-4d9e-9ad8-5dc456eef191,,Protect your product text details
a9a440e8-c471-4d1e-a8c8-73d0153b169d,,Choose from a wide range of sizes and aspect ratios
a9a440e8-c471-4d1e-a8c8-73d0153b169d,,Exclusively dedicated to wall art
a9a440e8-c471-4d1e-a8c8-73d0153b169d,,"24/7 customer support for your prints, webshop, and marketing"
0c411e5b-ad32-4fda-b74a-e3846b9e4361,,Connect your Shopify Store and Ship Zone account.
0c411e5b-ad32-4fda-b74a-e3846b9e4361,,Get rates from different carriers.
0c411e5b-ad32-4fda-b74a-e3846b9e4361,,Buy shipments.
2e1ea2c7-fcf5-497d-83ed-ed20604207c6,,Import your important customer and order data into Airtable
2e1ea2c7-fcf5-497d-83ed-ed20604207c6,,Automate emails and workflows
2e1ea2c7-fcf5-497d-83ed-ed20604207c6,,Create data visualization dashboards of your abandoned checkouts
542653ab-d897-41ee-86f7-5689037a2e65,,"Playbook: Our CS team helps you set, track, and deliver program KPIs"
542653ab-d897-41ee-86f7-5689037a2e65,,Growth: Grow SMS list faster w/ patented two-tap technology and high-performance
542653ab-d897-41ee-86f7-5689037a2e65,,Identity: Power segmentation and personalization with rich identity data points
542653ab-d897-41ee-86f7-5689037a2e65,,Messaging: Drive high CTRs in the customer lifecycle with personalized messages
542653ab-d897-41ee-86f7-5689037a2e65,,Compliance: In-house TCPA experts & templates ensure your program is compliant
53a43b02-bcf6-40e3-8716-e938d94f9bde,,Linking to Direct Link label system
53a43b02-bcf6-40e3-8716-e938d94f9bde,,Use Direct Link delivery service to all over the world
53a43b02-bcf6-40e3-8716-e938d94f9bde,,Select proper service to merchant via Direct Link labeling system
2481ec6c-c9f7-4504-a92d-cc8b27b68ea4,,"You make feeds with different catalog topics, sharing advertising strategies."
2481ec6c-c9f7-4504-a92d-cc8b27b68ea4,,"Create a separate feed for remarketing, new and similar audiences."
2481ec6c-c9f7-4504-a92d-cc8b27b68ea4,,Optimize and improve your product titles and descriptions.
2481ec6c-c9f7-4504-a92d-cc8b27b68ea4,,"Use effective Facebook, Google, Instagram, Pinterest channels."
2481ec6c-c9f7-4504-a92d-cc8b27b68ea4,,Improves your images without thinking.
587564a7-2dd1-4949-be57-8aa64f240c1a,,UTM Tracking Integration: Merchants can identify the sources of their traffic
587564a7-2dd1-4949-be57-8aa64f240c1a,,"Order Monitoring: Insights of customer purchase behavior, product sales trends"
587564a7-2dd1-4949-be57-8aa64f240c1a,,Customer Segmentation: Segment customers base based on various criteria
7c5ae655-d60d-4186-a0c2-25b40e8783c7,,Create engaging articles in minutes using GPT's prowess in your Shopify admin
7c5ae655-d60d-4186-a0c2-25b40e8783c7,,"Select your desired topic, length and tone of the article"
7c5ae655-d60d-4186-a0c2-25b40e8783c7,,Generate articles in any language (quality may vary for less common languages)
7c5ae655-d60d-4186-a0c2-25b40e8783c7,,Powered by the latest OpenAI ChatGPT version - GPT4
65204de0-7399-4097-aa5c-a9614b5fe266,,"Integrate chatbot in Collection, Product and Order Status pages."
65204de0-7399-4097-aa5c-a9614b5fe266,,Change color of the chatbot widget to match your store’s theme.
65204de0-7399-4097-aa5c-a9614b5fe266,,Edit questionnaire via DIYVA Platform.
6f3d9bca-15e6-404f-98f2-05cf62c8589b,,Track cart sharing and revenue generated in real-time with our dashboard
6f3d9bca-15e6-404f-98f2-05cf62c8589b,,Manual and Auto-installation options to easily integrate with your existing cart
6f3d9bca-15e6-404f-98f2-05cf62c8589b,,Choose a pre-built theme or customize your own to match your brand style.
9d7bffb8-3b96-41ba-b7b5-05a0eddedeea,,"Dynamic AI recommendations, Cart & Checkout cross-selling, Post purchase offers"
9d7bffb8-3b96-41ba-b7b5-05a0eddedeea,,"AB testing - Redirect URLs, CTAs, Banners, Texts, Apps (Like Google Optimize)"
9d7bffb8-3b96-41ba-b7b5-05a0eddedeea,,Increase AOV with “Frequently Bought Together” Bundles. Add discounts & segments
9d7bffb8-3b96-41ba-b7b5-05a0eddedeea,,"Personalized campaigns, personalized banners and segmented content"
9d7bffb8-3b96-41ba-b7b5-05a0eddedeea,,Shoppable Stories & videos - connect instagram & TikTok with ChatGPT
95e16b80-85f6-4be9-904d-2f934a3000ab,,Product & Reviews structured data function integrates 14 review applications.
95e16b80-85f6-4be9-904d-2f934a3000ab,,Product Merchant Schema supports configuring Shipping Details and Return Policy.
95e16b80-85f6-4be9-904d-2f934a3000ab,,Support configuring Search Schema
0d4e0598-7c7d-4149-938a-a0c21ed254a9,,Same-day shipping to help your customers' orders arrive on time.
0d4e0598-7c7d-4149-938a-a0c21ed254a9,,Customization capabilities to build your branded unboxing experience.
0d4e0598-7c7d-4149-938a-a0c21ed254a9,,Global footprint in 6 countries and other expansion opportunities.
0d4e0598-7c7d-4149-938a-a0c21ed254a9,,B2B fulfillment for 100+ EDI-compliant retailers.
0d4e0598-7c7d-4149-938a-a0c21ed254a9,,"Easy-to-use Shopify integration, plus REST APIs for ERPs (e.g. Netsuite)."
0a10c516-4822-4258-85ff-b70a4ceacbdc,,Define different shipping rates for the products (per item) in the store.
0a10c516-4822-4258-85ff-b70a4ceacbdc,,"Choose to fee the sum, maximum, or minimum of the shipping rates."
0a10c516-4822-4258-85ff-b70a4ceacbdc,,Option to apply the per item or flat rate shipping to only certain countries
0a10c516-4822-4258-85ff-b70a4ceacbdc,,Customize the title and description of your shipping per item
3a7d88d9-c44b-47f9-9f0d-6492d6039213,,The Smart Security app works on both desktop and mobile devices.
3a7d88d9-c44b-47f9-9f0d-6492d6039213,,The images and contents will be protected.
3a7d88d9-c44b-47f9-9f0d-6492d6039213,,The app automatically installs and works without any coding
1201d1c5-08c9-444b-921c-7dd68f8879cc,,Gift Cards: Launch a complete gift card program with Physical and E-Gift cards.
1201d1c5-08c9-444b-921c-7dd68f8879cc,,Loyalty: Set up a loyalty program for your brand in a matter of minutes!
1201d1c5-08c9-444b-921c-7dd68f8879cc,,Returns & Refunds: Automate Refunds and Reward Customers with Store Credit
1201d1c5-08c9-444b-921c-7dd68f8879cc,,"Workflows: Create, Trigger and Automate rewards based on customer's actions."
1201d1c5-08c9-444b-921c-7dd68f8879cc,,Referral: Add a personalised customer referral program to your store
0e1ae30a-ace2-4678-91b0-e823e4b44cd2,,Manage orders and automatically update inventory
0e1ae30a-ace2-4678-91b0-e823e4b44cd2,,Manage stock across multiple locations or warehouses
0e1ae30a-ace2-4678-91b0-e823e4b44cd2,,Purchase stock and manage your suppliers all in place
15ab52b9-ba93-4857-9b0f-0f579a519460,,You can create unlimited number of locks
15ab52b9-ba93-4857-9b0f-0f579a519460,,You can lock whole website and selected content
15ab52b9-ba93-4857-9b0f-0f579a519460,,Lock content based on customer wise
15ab52b9-ba93-4857-9b0f-0f579a519460,,You can manage locks and utilize multiple filters that are available
98d22617-0d38-4374-8bee-9167448ccd00,,導入はワンクリック。カラーやテキスト、レイアウトの変更はテーマエディタから簡単に設定できます。他アプリからの商品レビューのインポートにも対応しています。
98d22617-0d38-4374-8bee-9167448ccd00,,"OS2.0/1.0 すべてのテーマに対応しています。
ストアの表示パフォーマンスに悪影響を与えないような設計で、SEOにも完全対応しています。"
98d22617-0d38-4374-8bee-9167448ccd00,,ストアフロントではユーザーが慣れ親しんだECサイトと同等の機能を提供するため迷いがありません。管理者はマニュアルいらずのわかりやすいインターフェイスです。
4cf85ef4-9a66-4c96-ada9-50eafd59eefe,,Automatic synchronization of orders and shipments
4cf85ef4-9a66-4c96-ada9-50eafd59eefe,,Automatic synchronization of products
4cf85ef4-9a66-4c96-ada9-50eafd59eefe,,Automatic stock synchronization
4cf85ef4-9a66-4c96-ada9-50eafd59eefe,,Real-time order and shipment status updates
e31e7f05-f48f-45c1-b5c6-686f370c5a38,,"Upsell After order payment, with Offers that can be bought in a Single Click"
e31e7f05-f48f-45c1-b5c6-686f370c5a38,,Maximize AOV Boost with Upsell Funnels that can show a Second Upsell or Downsell
e31e7f05-f48f-45c1-b5c6-686f370c5a38,,Start Upselling in Minutes with an AI that works out of the box for All Catalogs
e31e7f05-f48f-45c1-b5c6-686f370c5a38,,Take control when you want to with Upsell Funnels based on Your own Rules.
e31e7f05-f48f-45c1-b5c6-686f370c5a38,,Mobile optimized offers
3e71b550-e08e-4e06-a133-8f5cc70899b8,,All customer support conversations in a single location
3e71b550-e08e-4e06-a133-8f5cc70899b8,,Assign conversations to your support team members
3e71b550-e08e-4e06-a133-8f5cc70899b8,,Implement the most straightforward conversation workflow
3e71b550-e08e-4e06-a133-8f5cc70899b8,,Integrated in your store's admin interface
ce4b7532-646e-4933-98d8-161cb914e498,,Binding your Shopify store to OC Account
ce4b7532-646e-4933-98d8-161cb914e498,,Order synchronization to fulfillment center
ce4b7532-646e-4933-98d8-161cb914e498,,Sync order status and return TranckingNo
cc7b35f3-43aa-48f5-835a-35ed379a965d,,"Free to start, Create unlimited offers, Upsell / cross-sell offer editor"
cc7b35f3-43aa-48f5-835a-35ed379a965d,,"20+ eligibility rules / Product, collection, quantity, and cart value triggers"
cc7b35f3-43aa-48f5-835a-35ed379a965d,,"Use same traffic, no extra effort required to upsell"
cc7b35f3-43aa-48f5-835a-35ed379a965d,,Add a tag to order when customer accepts offer
cc7b35f3-43aa-48f5-835a-35ed379a965d,,"Dashboard with analytics, Customizable texts and colors"
8a0f92fd-7ae5-43d7-8112-8a9a14612c75,,Create and manage custom order statuses with your orders.
8a0f92fd-7ae5-43d7-8112-8a9a14612c75,,Notify your Customers when the status changes via Customize Email Templates.
8a0f92fd-7ae5-43d7-8112-8a9a14612c75,,Add Order Lookup/Tracking Page for tracking orders using the order number only.
8a0f92fd-7ae5-43d7-8112-8a9a14612c75,,Track status change/history log as a order note.
8a0f92fd-7ae5-43d7-8112-8a9a14612c75,,Option to use your own SMTP for Sending emails.
bcaf760e-752f-43ea-b081-5b6bad763c06,,Banners can be inserted as a block anywhere on the store page.
bcaf760e-752f-43ea-b081-5b6bad763c06,,A fixed banner can be placed at the bottom of the store page.
bcaf760e-752f-43ea-b081-5b6bad763c06,,The banner display layout can be switched between PC and mobile screens.
6de7392a-5dd7-4db2-be5b-202addc910d5,,Whatsapp Chat Button
6de7392a-5dd7-4db2-be5b-202addc910d5,,Manual WhatsApp messages for abandoned cart
6de7392a-5dd7-4db2-be5b-202addc910d5,,Conversions and reduce cart abandonment
6de7392a-5dd7-4db2-be5b-202addc910d5,,Create message templates for customized communication
6de7392a-5dd7-4db2-be5b-202addc910d5,,Order confirmation and status updates
c0cac2bd-6426-4c39-9cc5-ecc68e30a911,,"Enable color swatches on the homepage, product, collection and search pages."
c0cac2bd-6426-4c39-9cc5-ecc68e30a911,,Replace the default product swatches by uploading images in the app admin panel.
c0cac2bd-6426-4c39-9cc5-ecc68e30a911,,Show a group of separate products as variants on a product page by using tags.
c0cac2bd-6426-4c39-9cc5-ecc68e30a911,,Hover the swatch or click it to view the image of a product variant.
c0cac2bd-6426-4c39-9cc5-ecc68e30a911,,Choose the shape of the swatches (round or square) and the size in pixels.
bb0faaf6-71e4-4753-b8b3-a86c576f02fb,,Showcase reviews effectively in 10+ beautiful display widgets
bb0faaf6-71e4-4753-b8b3-a86c576f02fb,,Send automatic review request emails and offer discounts as incentives
bb0faaf6-71e4-4753-b8b3-a86c576f02fb,,Powerful Pop up review request for effortless review submission
bb0faaf6-71e4-4753-b8b3-a86c576f02fb,,Synchronize and group product reviews across different products
bb0faaf6-71e4-4753-b8b3-a86c576f02fb,,Display Instagram feeds as a review to make your website lively
f747a234-13d1-46bf-aff2-236c85304205,,Manage Orders
f747a234-13d1-46bf-aff2-236c85304205,,Task Assign
f747a234-13d1-46bf-aff2-236c85304205,,Client Communication
f747a234-13d1-46bf-aff2-236c85304205,,Form Builder
a6d89b8c-3788-428d-8d66-b815390d2c5b,,Store Pickup Location: Add multiple store pickup locations for users to pick up
a6d89b8c-3788-428d-8d66-b815390d2c5b,,Date Picker: Show delivery date picker on cart page for local pickup & shipping
a6d89b8c-3788-428d-8d66-b815390d2c5b,,Flexible scheduling: Customers can pick up desired date and time from calendar
a6d89b8c-3788-428d-8d66-b815390d2c5b,,Estimated delivery: Show estimated delivery date and time for pickup & shipping
a6d89b8c-3788-428d-8d66-b815390d2c5b,,Order limit: Limit the number of orders you want to accept per day/time-slot
7fab9708-bdd4-4acf-964a-76c47bf40c79,,Real-Time Synchronization
7fab9708-bdd4-4acf-964a-76c47bf40c79,,Centralized Inventory Management
7fab9708-bdd4-4acf-964a-76c47bf40c79,,Effortless Order Management
629b52a1-e269-44d1-ad29-4543854d1d5f,,Zero coding required for wishlist app installation
629b52a1-e269-44d1-ad29-4543854d1d5f,,"Back in stock, discount campaign and automated checkout reminder email alerts"
629b52a1-e269-44d1-ad29-4543854d1d5f,,Wishlist analytics dashboard for hyper targeting customers
629b52a1-e269-44d1-ad29-4543854d1d5f,,Improve checkout rate and lower window shopping rate
629b52a1-e269-44d1-ad29-4543854d1d5f,,Customers can share their favorite products with friends and family seamlessly
c36a6798-310f-492d-b355-fb02d7f2b4b4,,Ge dina besökare möjligheten att plantera träd i samband med sin order.
c36a6798-310f-492d-b355-fb02d7f2b4b4,,Visa att din butik värnar om miljön.
c36a6798-310f-492d-b355-fb02d7f2b4b4,,Följ enkelt hur många träd du sålt i appens dashboard.
c7986570-ba91-4718-91eb-a02628645da1,,Ofereça o melhor valor de frete do mercado
c7986570-ba91-4718-91eb-a02628645da1,,Simplifique a comunicação com o seu público customizando infos do frete
c7986570-ba91-4718-91eb-a02628645da1,,Aumente a conversão customizando a experiência de compra
f0860546-0fe3-4b66-8c10-2fd666ff3aba,,Launch digital loyalty cards for Apple Wallet and Google Wallet
f0860546-0fe3-4b66-8c10-2fd666ff3aba,,Drive customer engagement with bonus points and rewards
f0860546-0fe3-4b66-8c10-2fd666ff3aba,,Stay in touch with customers via automated unlimited push-notifications
f0860546-0fe3-4b66-8c10-2fd666ff3aba,,Get new customers and sales with referrals
f0860546-0fe3-4b66-8c10-2fd666ff3aba,,"Integrate with all your favourite apps for email, reviews, and customer service"
540cf25a-9118-42ca-a67f-c4148a1eec48,,SEO Manager: Detect all issues via smart SEO reports for stores & landing pages
540cf25a-9118-42ca-a67f-c4148a1eec48,,"SEO & Traffic Booster: Rich Snippet JSON-LD, Meta Tags, Image ALT Tags, Backlink"
540cf25a-9118-42ca-a67f-c4148a1eec48,,"Speed Optimizer: AMP, Image Compression, Instant Page"
540cf25a-9118-42ca-a67f-c4148a1eec48,,Website Credibility Protector: Long & 404 URLs auto-detected & navigated by AI
